mode,overall,alpha,lam,test_loss,test_acc,test_auc
Unweighted cosine,True,1.000000,1000,0.482016,0.770700,0.852380
Weighted cosine,True,1.000000,1000,0.505234,0.755300,0.845723
Projection,True,1.000000,3000,0.486134,0.766600,0.850721
Unweighted cosine,True,1.000000,3000,0.494361,0.762100,0.850059
Weighted cosine,True,1.000000,3000,0.502951,0.759600,0.847854
Projection,True,1.000000,10000,0.482496,0.769900,0.854557
Unweighted cosine,True,1.000000,10000,0.489896,0.763600,0.851985
Weighted cosine,True,1.000000,10000,0.483338,0.767100,0.850139
Projection,True,1.000000,30000,0.484150,0.765400,0.852174
Unweighted cosine,True,1.000000,30000,0.701210,0.498100,0.631192
Weighted cosine,True,1.000000,30000,0.478838,0.771300,0.852045
Projection,False,1.000000,300,0.497554,0.762400,0.848747
Parameter-wise,False,1.000000,300,0.496148,0.761100,0.845989
Projection,False,1.000000,1000,0.486026,0.766400,0.848272
Parameter-wise,False,1.000000,1000,0.516085,0.752300,0.848005
Projection,False,1.000000,3000,0.477471,0.767600,0.854794
Parameter-wise,False,1.000000,3000,0.500409,0.759700,0.847812
Projection,False,1.000000,10000,0.488282,0.768000,0.855199
Parameter-wise,False,1.000000,10000,0.498227,0.762300,0.845522
Projection,False,1.000000,30000,0.513654,0.756400,0.853246
Parameter-wise,False,1.000000,30000,0.484796,0.768000,0.846884
Projection,True,0.010000,300,0.525124,0.754500,0.846958
Projection,True,0.100000,300,0.505069,0.763700,0.847813
Projection,True,0.010000,1000,0.507722,0.755700,0.843937
Projection,True,0.100000,1000,0.496616,0.765300,0.847067
Projection,True,0.010000,3000,0.506506,0.756600,0.849341
Projection,True,0.100000,3000,0.512445,0.758800,0.850447
Projection,True,0.010000,10000,0.495717,0.767100,0.851247
Projection,True,0.100000,10000,0.515297,0.755700,0.846651
Projection,True,0.010000,30000,0.489085,0.766700,0.845450
Projection,True,0.100000,30000,0.502791,0.761700,0.851755
Single task,True,1.000000,0,0.501957,0.759000,0.843276
Multitask,True,1.000000,300,0.487823,0.766100,0.849463
